,,point-1,point-2,point-3,point-4,point-5,point-6,point-7,point-8,point-9,point-10,point-11,point-12,point-13,point-14,point-15,point-16,point-17,point-18,point-19,point-20,point-21,point-22,point-23,point-24,point-25,point-26,point-27,point-28,point-29,point-30,point-31,point-32,point-33,point-34,point-35,point-36,point-37,point-38,point-39,point-40,point-41,point-42,point-43,point-44,point-45,point-46,point-47,point-48,point-49,point-50
ZERO,run-1,1.0,0.998,0.985,0.968,0.936,0.908,0.859,0.807,0.762,0.703,0.651,0.59,0.507,0.443,0.39,0.325,0.264,0.216,0.155,0.123,0.071,0.049,0.022,0.008,0.0,0.0,0.006,0.024,0.05,0.082,0.114,0.156,0.215,0.273,0.322,0.385,0.442,0.512,0.566,0.645,0.702,0.753,0.808,0.858,0.899,0.937,0.974,0.985,1.0,1.0
ZERO,run-2,1.0,0.999,0.984,0.967,0.939,0.901,0.861,0.817,0.751,0.699,0.639,0.579,0.516,0.446,0.387,0.311,0.263,0.212,0.159,0.11,0.084,0.052,0.031,0.011,0.003,0.0,0.011,0.03,0.052,0.075,0.11,0.155,0.208,0.271,0.321,0.379,0.445,0.514,0.564,0.633,0.691,0.752,0.806,0.843,0.892,0.927,0.964,0.981,0.997,1.0
ZERO,run-3,1.0,1.0,0.983,0.965,0.935,0.902,0.859,0.818,0.76,0.692,0.641,0.583,0.512,0.443,0.388,0.326,0.265,0.215,0.168,0.115,0.08,0.044,0.026,0.001,0.0,0.0,0.004,0.027,0.046,0.074,0.114,0.157,0.205,0.265,0.334,0.381,0.449,0.505,0.581,0.638,0.701,0.76,0.814,0.85,0.896,0.934,0.96,0.981,0.996,1.0
ZERO,run-4,1.0,0.999,0.986,0.967,0.937,0.905,0.851,0.82,0.754,0.703,0.641,0.587,0.506,0.449,0.385,0.326,0.258,0.209,0.166,0.111,0.078,0.051,0.027,0.015,0.002,0.005,0.009,0.027,0.05,0.081,0.118,0.163,0.217,0.267,0.326,0.385,0.451,0.507,0.584,0.642,0.69,0.761,0.805,0.855,0.9,0.936,0.965,0.987,0.996,1.0
ZERO,run-5,1.0,1.0,0.988,0.968,0.942,0.909,0.858,0.812,0.757,0.694,0.646,0.582,0.521,0.447,0.389,0.321,0.269,0.211,0.165,0.127,0.08,0.052,0.023,0.011,0.0,0.0,0.008,0.024,0.05,0.072,0.124,0.157,0.213,0.266,0.332,0.388,0.448,0.514,0.577,0.644,0.701,0.774,0.808,0.855,0.905,0.936,0.964,0.989,0.998,1.0
ZERO,run-6,1.0,0.999,0.987,0.968,0.936,0.902,0.862,0.819,0.768,0.703,0.634,0.583,0.521,0.449,0.392,0.328,0.268,0.211,0.169,0.118,0.076,0.054,0.026,0.013,0.0,0.002,0.009,0.023,0.049,0.076,0.122,0.16,0.216,0.264,0.321,0.401,0.446,0.528,0.575,0.64,0.705,0.757,0.812,0.858,0.899,0.936,0.962,0.984,0.996,1.0
ZERO,run-7,1.0,1.0,0.988,0.967,0.941,0.901,0.867,0.819,0.763,0.71,0.647,0.584,0.519,0.44,0.389,0.329,0.262,0.199,0.162,0.122,0.084,0.049,0.025,0.012,0.002,0.0,0.007,0.026,0.045,0.074,0.121,0.16,0.211,0.261,0.325,0.395,0.443,0.518,0.583,0.64,0.712,0.765,0.808,0.865,0.904,0.936,0.969,0.988,1.0,1.0
ZERO,run-8,1.0,0.994,0.982,0.962,0.934,0.901,0.854,0.811,0.761,0.7,0.642,0.584,0.517,0.443,0.382,0.322,0.267,0.211,0.166,0.113,0.082,0.049,0.025,0.005,0.0,0.0,0.007,0.02,0.049,0.074,0.111,0.16,0.21,0.27,0.308,0.377,0.45,0.512,0.576,0.634,0.699,0.742,0.812,0.86,0.905,0.928,0.963,0.98,0.998,1.0
ZERO,run-9,1.0,0.998,0.987,0.965,0.935,0.906,0.854,0.813,0.753,0.7,0.641,0.576,0.525,0.446,0.392,0.332,0.27,0.214,0.164,0.12,0.083,0.048,0.022,0.007,0.0,0.0,0.006,0.022,0.047,0.076,0.116,0.152,0.207,0.257,0.319,0.38,0.447,0.512,0.577,0.64,0.689,0.76,0.808,0.861,0.901,0.933,0.964,0.985,0.996,1.0
ZERO,run-10,1.0,0.999,0.985,0.967,0.936,0.908,0.864,0.814,0.757,0.703,0.642,0.582,0.524,0.442,0.386,0.315,0.265,0.217,0.164,0.116,0.081,0.048,0.02,0.009,0.0,0.0,0.007,0.022,0.043,0.074,0.12,0.154,0.21,0.266,0.327,0.381,0.451,0.509,0.564,0.644,0.699,0.764,0.811,0.85,0.903,0.933,0.963,0.987,0.996,1.0
